Deaths,Moves,Wins,Gamma,Time
122,34241,1000,0.57,4.027613162994385
122,34817,1000,0.58,4.0445802211761475
122,34478,1000,0.59,4.025382041931152
122,34180,1000,0.6,4.015275001525879
122,34626,1000,0.61,4.012682199478149
122,34384,1000,0.62,4.042457342147827
122,34354,1000,0.63,4.014251232147217
122,34215,1000,0.64,4.042152404785156
122,34433,1000,0.65,4.045751333236694
122,34161,1000,0.66,4.026874780654907
122,34514,1000,0.67,4.023756265640259
122,34682,1000,0.68,4.032580614089966
122,34354,1000,0.69,3.996572256088257
122,34820,1000,0.7,4.013214826583862
122,34492,1000,0.71,4.025583267211914
122,34135,1000,0.72,3.990774393081665
122,34251,1000,0.73,3.9934279918670654
122,34619,1000,0.74,3.9698843955993652
122,34604,1000,0.75,4.028833627700806
122,34575,1000,0.76,4.032460689544678
122,34745,1000,0.77,4.010857582092285
122,34448,1000,0.78,4.021066427230835
122,34130,1000,0.79,4.016642332077026
122,34665,1000,0.8,3.9937050342559814
122,34499,1000,0.81,3.983374834060669
122,33996,1000,0.82,4.0035645961761475
122,34576,1000,0.83,3.9943759441375732
122,34319,1000,0.84,4.003109455108643
122,34360,1000,0.85,3.9999186992645264
122,34215,1000,0.86,4.003103256225586
122,34456,1000,0.87,3.9909725189208984
122,34382,1000,0.88,4.001291751861572
122,33986,1000,0.89,3.9748668670654297
122,34612,1000,0.9,4.008028030395508
122,34131,1000,0.91,3.995694637298584
122,34080,1000,0.92,3.9635884761810303
122,34489,1000,0.93,3.9649534225463867
122,34491,1000,0.94,3.951921224594116
122,34032,1000,0.95,3.9699316024780273
122,34642,1000,0.96,3.946831226348877
122,34485,1000,0.97,3.9432437419891357
122,34448,1000,0.98,3.947782039642334
122,34143,1000,0.99,3.937333822250366
122,34334,1000,1.0,3.9570133686065674
122,33919,1000,1.01,3.9428348541259766
122,34299,1000,1.02,3.925147533416748
122,34533,1000,1.03,3.9079701900482178
122,34366,1000,1.04,3.9103176593780518
122,34631,1000,1.05,3.9044506549835205
122,34313,1000,1.06,3.8964192867279053
122,34260,1000,1.07,3.9025681018829346
122,34177,1000,1.08,3.8785243034362793
122,34692,1000,1.09,3.8755104541778564
122,34270,1000,1.1,3.384258985519409
122,34627,1000,1.11,3.307572364807129
122,34841,1000,1.12,3.108764886856079
122,34445,1000,1.13,2.548720359802246
161,34179,1000,1.14,2.3568506240844727
238,33344,1000,1.15,2.152033805847168
124,200000,8,1.16,2.236649513244629
127,200000,11,1.17,2.554659843444824
126,200000,8,1.18,2.3865203857421875
128,200000,5,1.19,2.732573986053467
128,200000,5,1.2,2.3943634033203125
136,200000,5,1.21,2.501647710800171
123,200000,5,1.22,2.288784980773926
123,200000,5,1.23,2.6954338550567627
134,200000,5,1.24,2.7870824337005615
134,200000,3,1.25,2.4480724334716797
138,200000,3,1.26,2.320002317428589
128,200000,3,1.27,2.3244640827178955
151,200000,3,1.28,2.917637348175049
126,200000,0,1.29,2.2039239406585693
127,200000,0,1.3,2.3418309688568115
129,200000,0,1.31,2.30171799659729
125,200000,0,1.32,2.0534327030181885
124,200000,0,1.33,2.502812623977661
113,200000,0,1.34,2.656263828277588
140,200000,0,1.35,1.9725773334503174
129,200000,0,1.36,2.287137985229492
132,200000,0,1.37,2.320223093032837
124,200000,0,1.38,2.238996744155884
132,200000,0,1.39,2.0633292198181152
121,200000,0,1.4,2.07688307762146
135,200000,0,1.41,2.088987112045288
124,200000,0,1.42,2.1817948818206787
127,200000,0,1.43,2.088015556335449
108,200000,0,1.44,2.0714683532714844
106,200000,0,1.45,2.8605825901031494
108,200000,0,1.46,2.130751132965088
126,200000,0,1.47,2.394104242324829
139,200000,0,1.48,2.2320871353149414
128,200000,0,1.49,2.341925859451294
145,200000,0,1.5,2.433206081390381
146,200000,0,1.51,2.45878005027771
148,200000,0,1.52,2.705108165740967
163,200000,0,1.53,2.444742441177368
109,200000,0,1.54,2.2597403526306152
133,200000,0,1.55,2.208089590072632
118,200000,0,1.56,1.999342679977417
114,200000,0,1.57,2.174535036087036
144,200000,0,1.58,2.513061761856079
132,200000,0,1.59,2.2436838150024414
137,200000,0,1.6,1.9964463710784912
130,200000,0,1.61,2.4413392543792725
134,200000,0,1.62,2.089707612991333
123,200000,0,1.63,2.321964979171753
158,200000,0,1.64,2.310257911682129
155,200000,0,1.65,2.0112690925598145
127,200000,0,1.66,2.518674612045288
152,200000,0,1.67,2.2754838466644287
134,200000,0,1.68,2.684201240539551
157,200000,0,1.69,2.3647258281707764
150,200000,0,1.7,2.2729263305664062
207,200000,0,1.71,2.010599374771118
158,200000,0,1.72,2.0958824157714844
167,200000,0,1.73,2.088813066482544
114,200000,0,1.74,2.0220561027526855
153,200000,0,1.75,2.5178613662719727
132,200000,0,1.76,2.3678417205810547
130,200000,0,1.77,2.0827033519744873
173,200000,0,1.78,2.1836800575256348
174,200000,0,1.79,2.4935929775238037
148,200000,0,1.8,2.271515130996704
210,200000,0,1.81,2.521010398864746
130,200000,0,1.82,2.1630797386169434
130,200000,0,1.83,2.028151750564575
144,200000,0,1.84,2.234264373779297
134,200000,0,1.85,2.43538498878479
154,200000,0,1.86,2.1354832649230957
140,200000,0,1.87,2.334603786468506
129,200000,0,1.88,2.042269468307495
139,200000,0,1.89,2.134540557861328
133,200000,0,1.9,1.9760820865631104
170,200000,0,1.91,2.1432974338531494
119,200000,0,1.92,2.085608959197998
126,200000,0,1.93,2.154078245162964
154,200000,0,1.94,2.0607550144195557
150,200000,0,1.95,2.070826768875122
154,200000,0,1.96,1.9794094562530518
183,200000,0,1.97,1.8268039226531982
127,200000,0,1.98,1.8278172016143799
155,200000,0,1.99,1.7530663013458252
145,200000,0,2.0,1.6362183094024658
22,200000,0,0.0,2.0549051761627197
84,200000,0,0.01,2.097900629043579
91,200000,0,0.02,2.179490804672241
86,200000,0,0.03,2.327526807785034
85,200000,0,0.04,2.9275929927825928
103,200000,0,0.05,2.3916878700256348
93,200000,0,0.06,2.245483636856079
101,200000,0,0.07,2.3031461238861084
101,200000,0,0.08,2.364328622817993
110,200000,1,0.09,2.4270482063293457
95,200000,0,0.1,2.299654245376587
121,200000,5,0.11,2.6734964847564697
122,200000,9,0.12,2.8251516819000244
108,200000,0,0.13,2.320335865020752
116,200000,5,0.14,2.32974910736084
113,200000,2,0.15,2.875323534011841
122,200000,264,0.16,2.684635639190674
122,200000,181,0.17,2.3778741359710693
122,34295,1000,0.18,1.4661450386047363
122,34565,1000,0.19,1.3828487396240234
122,34469,1000,0.2,1.4047703742980957
122,34739,1000,0.21,1.3324522972106934
122,34440,1000,0.22,2.535954236984253
122,34350,1000,0.23,2.7668840885162354
122,34452,1000,0.24,2.977548122406006
122,34255,1000,0.25,2.9951794147491455
122,34321,1000,0.26,3.1146225929260254
122,34355,1000,0.27,3.7968783378601074
122,34491,1000,0.28,3.922050952911377
122,34524,1000,0.29,4.0536723136901855
122,34419,1000,0.3,4.124571800231934
122,34572,1000,0.31,4.114556789398193
122,34354,1000,0.32,4.113404989242554
122,34033,1000,0.33,4.163053750991821
122,34130,1000,0.34,4.15620756149292
122,34576,1000,0.35,4.196423530578613
122,34175,1000,0.36,4.1581130027771
122,34382,1000,0.37,4.18712306022644
122,34577,1000,0.38,4.193485260009766
122,34600,1000,0.39,4.182051658630371
122,34642,1000,0.4,4.204545974731445
122,34523,1000,0.41,4.209174394607544
122,34534,1000,0.42,4.217795133590698
122,34780,1000,0.43,4.2365171909332275
122,34142,1000,0.44,4.116792678833008
122,34677,1000,0.45,4.1253581047058105
122,34415,1000,0.46,4.043071985244751
122,34380,1000,0.47,4.03662371635437
122,34406,1000,0.48,4.068456649780273
122,34941,1000,0.49,3.995529890060425
122,34418,1000,0.5,3.9754109382629395
122,34699,1000,0.51,3.9274330139160156
122,34552,1000,0.52,3.940617799758911
122,34540,1000,0.53,3.9486708641052246
122,34416,1000,0.54,3.9629220962524414
122,34620,1000,0.55,3.9310719966888428
122,34432,1000,0.56,3.985738754272461
122,34120,1000,0.57,3.972395420074463
122,34465,1000,0.58,3.9647231101989746
122,34451,1000,0.59,3.9630045890808105
122,34309,1000,0.6,3.9550678730010986
122,34704,1000,0.61,3.9534716606140137
122,34472,1000,0.62,3.9365532398223877
122,34433,1000,0.63,3.902643918991089
122,34299,1000,0.64,3.9249322414398193
122,34234,1000,0.65,3.912006139755249
122,34399,1000,0.66,4.013091564178467
122,34196,1000,0.67,4.101633310317993
122,33836,1000,0.68,4.082438230514526
122,34380,1000,0.69,4.1054487228393555
122,33952,1000,0.7,4.080154180526733
122,34436,1000,0.71,4.063155651092529
122,34580,1000,0.72,4.100428819656372
122,34116,1000,0.73,4.084259033203125
122,34228,1000,0.74,4.104552745819092
122,34393,1000,0.75,4.121879577636719
122,34575,1000,0.76,4.099752426147461
122,34176,1000,0.77,4.10134744644165
122,34748,1000,0.78,4.118131399154663
122,34462,1000,0.79,4.103531122207642
122,34485,1000,0.8,4.093460559844971
122,34410,1000,0.81,4.1315014362335205
122,34391,1000,0.82,4.119044780731201
122,34358,1000,0.83,4.1131978034973145
122,34509,1000,0.84,4.093968152999878
122,34147,1000,0.85,4.060612916946411
122,34560,1000,0.86,4.0802857875823975
122,34344,1000,0.87,4.094038009643555
122,34522,1000,0.88,4.086205959320068
122,34575,1000,0.89,4.076469659805298
122,33884,1000,0.9,4.058516263961792
